name,code,symbolCode,tradePrice,change,changePrice,changeRate,accTradeVolume,accTradePrice,marketCap,foreignRatio
엠에스씨,KR7009780008,A009780,5930.0,FALL,30.0,-0.005033557,21433,125982700,104368000000.0,0.760
비디아이,KR7148140007,A148140,3920.0,FALL,20.0,-0.0050761421,289968,1127443230,103052115600.0,0.230
핑거,KR7163730005,A163730,19500.0,FALL,100.0,-0.0051020408,17731,344104600,180160773000.0,0.410
네오오토,KR7212560007,A212560,9660.0,FALL,50.0,-0.0051493306,85515,825738080,76072142580.0,1.710
한국정보공학,KR7039740006,A039740,5770.0,FALL,30.0,-0.0051724138,112566,631756050,46266150690.0,0.970
한국선재,KR7025550005,A025550,5720.0,FALL,30.0,-0.0052173913,200935,1142405970,140267292880.0,1.100
노터스,KR7278650007,A278650,28300.0,FALL,150.0,-0.0052724077,19047,536525600,215628114400.0,4.060
시그네틱스,KR7033170002,A033170,1885.0,FALL,10.0,-0.0052770449,416044,774473460,161597881315.0,2.860
티앤알바이오팹,KR7246710008,A246710,46400.0,FALL,250.0,-0.0053590568,24280,1119527650,393099640000.0,3.260
엠피대산,KR7065150005,A065150,927.0,FALL,5.0,-0.0053648069,53865,49660254,116136789435.0,0.340
메가스터디교육,KR7215200007,A215200,72400.0,FALL,400.0,-0.0054945055,14743,1057280500,858800112000.0,30.020
코아스템,KR7166480004,A166480,18050.0,FALL,100.0,-0.0055096419,24714,444280200,283764411000.0,1.030
티로보틱스,KR7117730002,A117730,9000.0,FALL,50.0,-0.0055248619,61551,550779150,124623567000.0,1.820
삼보모터스,KR7053700001,A053700,7050.0,FALL,40.0,-0.0056417489,126759,879910550,132708466800.0,0.000
셀레믹스,KR7331920009,A331920,17600.0,FALL,100.0,-0.0056497175,7037,123927700,143689004800.0,0.000
나인테크,KR7267320000,A267320,4390.0,FALL,25.0,-0.0056625142,83466,365591470,172950872060.0,0.180
중앙백신,KR7072020001,A072020,17550.0,FALL,100.0,-0.0056657224,32866,576630650,174798000000.0,2.550
